|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Adana-1|Adıyaman-2|Afyonkarahisar-3|Ağrı-4|Aksaray-68|Amasya-5|Ankara-6|Antalya-7|Ardahan-75|Artvin-8|Aydın-9|Balıkesir-10|Bartın-74|Batman-72|Bayburt-69|Bilecik-11|Bingöl-12|Bitlis-13|Bolu-14|Burdur-15|Bursa-16|Çanakkale-17|Çankırı-18|Çorum-19|Denizli-20|Diyarbakır-21|Düzce-81|Edirne-22|Elazığ-23|Erzincan-24|Erzurum-25|Eskişehir-26|Gaziantep-27|Giresun-28|Gümüşhane-29|Hakkari-30|Hatay-31|Iğdır-76|Isparta-32|İstanbul-34|İzmir-35|Kahramanmaraş-46|Karabük-78|Karaman-70|Kars-36|Kastamonu-37|Kayseri-38|Kilis-79|Kırıkkale-71|Kırklareli-39|Kırşehir-40|Kocaeli-41|Konya-42|Kütahya-43|Malatya-44|Manisa-45|Mardin-47|Mersin-33|Muğla-48|Muş-49|Nevşehir-50|Niğde-51|Ordu-52|Osmaniye-80|Rize-53|Sakarya-54|Samsun-55|Şanlıurfa-63|Siirt-56|Sinop-57|Şırnak-73|Sivas-58|Tekirdağ-59|Tokat-60|Trabzon-61|Tunceli-62|Uşak-64|Van-65|Yalova-77|Yozgat-66|Zonguldak-67|
Bitirilen Eğitim Düzeyi|14-17 ve İlköğretim|2017|192.0|38.0|35.0|159.0|22.0|19.0|231.0|132.0|5.0|5.0|64.0|48.0|5.0|90.0|2.0|10.0|34.0|65.0|4.0|7.0|158.0|20.0|6.0|25.0|49.0|271.0|15.0|19.0|22.0|13.0|107.0|24.0|195.0|13.0|5.0|69.0|140.0|38.0|27.0|986.0|171.0|111.0|6.0|13.0|18.0|18.0|62.0|20.0|14.0|12.0|5.0|79.0|251.0|17.0|43.0|71.0|96.0|140.0|30.0|97.0|26.0|21.0|21.0|46.0|18.0|57.0|77.0|405.0|58.0|14.0|100.0|22.0|53.0|49.0|37.0|2.0|16.0|273.0|21.0|31.0|19.0|
|14-17 ve İlkokul|2016|23716.0|7674.0|7339.0|17487.0|5004.0|1453.0|27101.0|17739.0|600.0|528.0|8620.0|5778.0|1016.0|13491.0|619.0|909.0|3810.0|10211.0|1110.0|1730.0|18013.0|2090.0|1124.0|3999.0|7568.0|33819.0|1890.0|2327.0|4233.0|1320.0|14447.0|3514.0|30445.0|1450.0|814.0|5184.0|16936.0|3124.0|2297.0|110954.0|22648.0|14011.0|799.0|2379.0|4430.0|2133.0|11132.0|1902.0|1509.0|1583.0|1138.0|10400.0|28412.0|3051.0|4776.0|10523.0|18731.0|17232.0|5076.0|13498.0|2373.0|4705.0|4094.0|5900.0|1296.0|6119.0|9642.0|53229.0|10156.0|1523.0|13174.0|4326.0|6967.0|4827.0|3711.0|158.0|2470.0|31409.0|1187.0|3045.0|2263.0|
||2017|52597.0|17041.0|15146.0|25890.0|9414.0|5401.0|91647.0|45297.0|1959.0|2348.0|19293.0|18020.0|2986.0|23622.0|1356.0|3307.0|6896.0|15034.0|4344.0|4619.0|53700.0|7107.0|2955.0|10011.0|19056.0|59971.0|6323.0|5822.0|11516.0|3915.0|24055.0|12759.0|58938.0|6522.0|2346.0|9571.0|39883.0|6169.0|7155.0|283876.0|66350.0|31597.0|3280.0|5280.0|8212.0|5760.0|29374.0|3688.0|4762.0|4964.0|3708.0|33976.0|53867.0|9204.0|15922.0|26189.0|30504.0|40265.0|14768.0|19922.0|5735.0|9204.0|12734.0|13943.0|5280.0|18466.0|25327.0|84388.0|14688.0|3503.0|21420.0|12165.0|18704.0|12286.0|13065.0|802.0|6299.0|48111.0|3909.0|7886.0|9174.0|
|14-17 ve Lise Ve Dengi Meslek Okulu|2016|9120.0|3111.0|3653.0|1172.0|1823.0|1638.0|18297.0|4812.0|310.0|365.0|2095.0|4490.0|726.0|2103.0|298.0|781.0|1239.0|1130.0|1107.0|1264.0|5038.0|1204.0|847.0|2573.0|3696.0|4540.0|1046.0|706.0|2767.0|943.0|2543.0|3054.0|6062.0|1370.0|549.0|903.0|5315.0|453.0|2273.0|19757.0|7627.0|6163.0|1335.0|1010.0|735.0|1421.0|6033.0|658.0|2117.0|623.0|1438.0|4152.0|7872.0|3281.0|3998.0|4926.0|2143.0|6446.0|2197.0|1127.0|1254.0|1914.0|2548.0|3280.0|854.0|3248.0|5081.0|4205.0|1003.0|568.0|883.0|2459.0|1593.0|2637.0|2095.0|153.0|1694.0|3093.0|352.0|2070.0|1774.0|
||2017|800.0|491.0|278.0|549.0|192.0|105.0|1062.0|570.0|119.0|53.0|209.0|217.0|58.0|576.0|106.0|46.0|321.0|380.0|86.0|90.0|450.0|104.0|52.0|141.0|208.0|1178.0|146.0|63.0|479.0|167.0|682.0|193.0|856.0|158.0|103.0|669.0|694.0|241.0|126.0|3216.0|600.0|654.0|78.0|79.0|310.0|137.0|450.0|115.0|105.0|67.0|78.0|434.0|870.0|116.0|482.0|295.0|876.0|616.0|168.0|420.0|125.0|210.0|178.0|225.0|127.0|271.0|496.0|1276.0|331.0|59.0|571.0|235.0|173.0|311.0|370.0|40.0|119.0|1529.0|49.0|197.0|135.0|
|14-17 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2016|2851.0|786.0|802.0|4197.0|797.0|76.0|2337.0|1504.0|39.0|32.0|641.0|573.0|30.0|2007.0|40.0|61.0|501.0|1224.0|64.0|132.0|1759.0|279.0|93.0|188.0|513.0|6541.0|163.0|398.0|534.0|130.0|1049.0|324.0|3819.0|246.0|885.0|1333.0|2090.0|564.0|354.0|13865.0|2157.0|1380.0|59.0|151.0|375.0|110.0|707.0|219.0|184.0|174.0|305.0|879.0|2083.0|187.0|463.0|732.0|2950.0|1608.0|326.0|3043.0|205.0|254.0|383.0|639.0|100.0|702.0|552.0|9180.0|1410.0|102.0|1833.0|549.0|755.0|325.0|401.0|28.0|136.0|5626.0|173.0|1337.0|185.0|
||2017|2168.0|574.0|727.0|2434.0|738.0|66.0|2106.0|1319.0|30.0|28.0|496.0|478.0|29.0|1460.0|57.0|45.0|286.0|746.0|53.0|100.0|1362.0|220.0|97.0|175.0|474.0|4295.0|135.0|278.0|417.0|101.0|717.0|306.0|2804.0|251.0|1164.0|1302.0|1723.0|393.0|322.0|11254.0|1833.0|1120.0|51.0|119.0|261.0|98.0|610.0|157.0|167.0|160.0|274.0|832.0|1819.0|181.0|364.0|549.0|2128.0|1282.0|344.0|1972.0|189.0|205.0|358.0|545.0|96.0|625.0|476.0|6566.0|1116.0|87.0|1477.0|474.0|593.0|294.0|374.0|20.0|133.0|3700.0|159.0|1373.0|167.0|
|14-17 ve Okuma Yazma Bilmeyen|2016|52.0|15.0|15.0|7.0|3.0||11.0|12.0|||1.0|14.0||48.0|||48.0|60.0|||17.0||2.0||21.0|108.0|3.0|5.0|1.0||37.0|7.0|11.0|6.0|1.0|110.0|12.0|30.0|1.0|181.0|19.0|5.0|3.0|3.0|24.0|3.0|28.0|3.0|2.0|2.0||38.0|25.0|8.0|20.0|3.0|110.0|16.0||17.0|14.0|5.0|6.0|15.0|1.0|30.0|4.0|301.0|54.0|5.0|83.0|2.0|22.0|16.0|3.0||3.0|397.0|6.0|101.0|8.0|
||2017|10.0|2.0|8.0|4.0|1.0||3.0|7.0||||6.0||18.0|||14.0|23.0|||7.0||1.0||10.0|45.0|3.0|2.0|1.0||16.0|3.0|3.0|5.0||57.0|6.0|15.0|1.0|68.0|6.0|2.0|2.0|2.0|4.0||16.0|||||16.0|11.0|5.0|7.0|1.0|50.0|8.0|1.0|10.0|6.0|3.0|3.0|9.0||13.0|2.0|107.0|13.0|4.0|40.0|1.0|8.0|13.0|1.0||2.0|133.0|6.0|76.0|5.0|
|14-17 ve Ortaokul Veya Dengi Meslek Ortaokul|2016|115680.0|37924.0|33829.0|32231.0|20114.0|16214.0|259874.0|110942.0|5950.0|8093.0|47448.0|50873.0|8865.0|38879.0|4853.0|9553.0|15021.0|20088.0|13006.0|11244.0|143365.0|19939.0|7635.0|25548.0|47834.0|101820.0|19810.0|14490.0|31618.0|11079.0|41764.0|36066.0|114783.0|22678.0|7463.0|17457.0|90307.0|12509.0|18542.0|709736.0|184458.0|65702.0|10286.0|12982.0|16856.0|15320.0|73490.0|7188.0|13463.0|14193.0|11340.0|96037.0|109836.0|23785.0|44856.0|64190.0|50556.0|92529.0|38914.0|23404.0|14560.0|18118.0|41150.0|29590.0|17435.0|50604.0|68628.0|110856.0|19135.0|8739.0|33059.0|33718.0|44567.0|32592.0|40488.0|2874.0|15723.0|65905.0|11169.0|22009.0|29254.0|
||2017|90837.0|29698.0|27568.0|23575.0|16087.0|13048.0|205934.0|84791.0|4375.0|6071.0|36905.0|40370.0|7111.0|29593.0|3221.0|7580.0|11614.0|15169.0|10417.0|8892.0|110158.0|15499.0|6072.0|20092.0|37545.0|77867.0|15735.0|10914.0|24874.0|8619.0|31879.0|28706.0|89015.0|17141.0|5339.0|13237.0|71064.0|9493.0|14963.0|540836.0|141670.0|52537.0|8460.0|10147.0|12823.0|12155.0|58827.0|5669.0|11337.0|10707.0|9172.0|75516.0|86335.0|19628.0|35453.0|50633.0|38542.0|71720.0|30388.0|17370.0|11570.0|14445.0|31377.0|23352.0|13340.0|40586.0|54426.0|83514.0|14613.0|6758.0|24437.0|26259.0|34770.0|25497.0|31207.0|2113.0|12747.0|49630.0|8645.0|17186.0|23044.0|
|14-17 ve Yüksekokul Veya Fakülte|2016||||1.0||2.0||1.0|1.0|1.0|||||||||||1.0|||||||||||||||||||13.0|1.0|||||||||1.0||1.0|1.0||||2.0|||||||||||1.0||||1.0|||||3.0|1.0||||
