iller,değer
Adana-1,9
Adıyaman-2,"10,9"
Afyonkarahisar-3,"8,6"
Ağrı-4,"12,9"
Aksaray-68,"9,2"
Amasya-5,"5,3"
Ankara-6,"7,1"
Antalya-7,"7,4"
Ardahan-75,"9,9"
Artvin-8,10
Aydın-9,"7,3"
Balıkesir-10,"7,3"
Bartın-74,"6,3"
Batman-72,"11,7"
Bayburt-69,"8,8"
Bilecik-11,"10,2"
Bingöl-12,"12,5"
Bitlis-13,"14,2"
Bolu-14,"5,6"
Burdur-15,"10,4"
Bursa-16,"6,8"
Çanakkale-17,"6,4"
Çankırı-18,"4,6"
Çorum-19,"6,3"
Denizli-20,"7,8"
Diyarbakır-21,"9,8"
Düzce-81,"6,9"
Edirne-22,"5,8"
Elazığ-23,"10,9"
Erzincan-24,"8,1"
Erzurum-25,"12,5"
Eskişehir-26,"5,2"
Gaziantep-27,"12,8"
Giresun-28,"8,1"
Gümüşhane-29,"6,4"
Hakkari-30,"16,7"
Hatay-31,"10,6"
Iğdır-76,"9,3"
Isparta-32,"8,5"
İstanbul-34,"7,4"
İzmir-35,"6,8"
Kahramanmaraş-46,"10,3"
Karabük-78,"5,2"
Karaman-70,8
Kars-36,"7,8"
Kastamonu-37,"7,3"
Kayseri-38,"8,7"
Kilis-79,"17,2"
Kırıkkale-71,"9,4"
Kırklareli-39,"8,6"
Kırşehir-40,"8,4"
Kocaeli-41,"7,2"
Konya-42,"9,6"
Kütahya-43,"9,8"
Malatya-44,"9,2"
Manisa-45,11
Mardin-47,"13,6"
Mersin-33,"9,3"
Muğla-48,"6,5"
Muş-49,"14,9"
Nevşehir-50,10
Niğde-51,"8,1"
Ordu-52,"10,1"
Osmaniye-80,"9,1"
Rize-53,"9,6"
Sakarya-54,"9,4"
Samsun-55,"7,3"
Şanlıurfa-63,"14,4"
Siirt-56,"12,8"
Sinop-57,"6,7"
Şırnak-73,13
Sivas-58,"9,1"
Tekirdağ-59,"8,3"
Tokat-60,"8,8"
Trabzon-61,"8,8"
Tunceli-62,"10,8"
Uşak-64,"5,8"
Van-65,"11,9"
Yalova-77,"9,9"
Yozgat-66,"7,3"
Zonguldak-67,"9,9"
