e€itim düzeyi;Yaﬂ Aral›€›;Y›l;Adana-1;Ad›yaman-2;Afyonkarahisar-3;A€r›-4;Aksaray-68;Amasya-5;Ankara-6;Antalya-7;Ardahan-75;Artvin-8;Ayd›n-9;Bal›kesir-10;Bart›n-74;Batman-72;Bayburt-69;Bilecik-11;Bingöl-12;Bitlis-13;Bolu-14;Burdur-15;Bursa-16;Çanakkale-17;Çank›r›-18;Çorum-19;Denizli-20;Diyarbak›r-21;Düzce-81;Edirne-22;Elaz›€-23;Erzincan-24;Erzurum-25;Eskiﬂehir-26;Gaziantep-27;Giresun-28;Gümüﬂhane-29;Hakkari-30;Hatay-31;I€d›r-76;Isparta-32;‹stanbul-34;‹zmir-35;Kahramanmaraﬂ-46;Karabük-78;Karaman-70;Kars-36;Kastamonu-37;Kayseri-38;Kilis-79;K›r›kkale-71;K›rklareli-39;K›rﬂehir-40;Kocaeli-41;Konya-42;Kütahya-43;Malatya-44;Manisa-45;Mardin-47;Mersin-33;Mu€la-48;Muﬂ-49;Nevﬂehir-50;Ni€de-51;Ordu-52;Osmaniye-80;Rize-53;Sakarya-54;Samsun-55;ﬁanl›urfa-63;Siirt-56;Sinop-57;ﬁ›rnak-73;Sivas-58;Tekirda€-59;Tokat-60;Trabzon-61;Tunceli-62;Uﬂak-64;Van-65;Yalova-77;Yozgat-66;Zonguldak-67
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;6--13;2016;145259;45196;40819;49797;26268;15938;293199;133514;5192;6981;52830;51674;8526;51822;4742;9916;17960;29127;13607;12178;162557;21592;8433;26467;53065;142034;19631;15916;33394;10986;49315;38227;167971;19531;10320;22828;113595;14877;21499;834006;206161;84822;9982;14060;20584;15701;88411;9383;13565;14023;11610;109945;134906;25884;47817;73148;69228;107818;45201;38109;15987;21920;38194;38673;15845;52901;67454;197408;29902;8943;47856;34284;53639;31667;39819;2770;17579;101051;11901;25465;29572
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;6--13;2017;143317;45084;39813;48693;25887;15966;289790;132469;5099;6830;52293;51440;8484;50897;4154;9946;18054;28416;13562;11776;161791;21435;8355;25898;52003;141648;19468;15724;33015;11184;48662;38268;166892;18618;9062;22021;112645;14887;20956;824825;204742;83849;9919;13687;19930;15364;87174;9354;13017;13820;11112;110733;132663;25582;47474;72407;68709;106988;44890;36938;15459;21375;36404;37082;15613;52515;66210;199415;29032;9019;46967;33266;54946;30809;39565;2796;17179;97927;11953;23820;28478
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;14--17;2016;2851;786;802;4197;797;76;2337;1504;39;32;641;573;30;2007;40;61;501;1224;64;132;1759;279;93;188;513;6541;163;398;534;130;1049;324;3819;246;885;1333;2090;564;354;13865;2157;1380;59;151;375;110;707;219;184;174;305;879;2083;187;463;732;2950;1608;326;3043;205;254;383;639;100;702;552;9180;1410;102;1833;549;755;325;401;28;136;5626;173;1337;185
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;14--17;2017;2168;574;727;2434;738;66;2106;1319;30;28;496;478;29;1460;57;45;286;746;53;100;1362;220;97;175;474;4295;135;278;417;101;717;306;2804;251;1164;1302;1723;393;322;11254;1833;1120;51;119;261;98;610;157;167;160;274;832;1819;181;364;549;2128;1282;344;1972;189;205;358;545;96;625;476;6566;1116;87;1477;474;593;294;374;20;133;3700;159;1373;167
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;18--21;2016;6982;1588;1219;10450;964;174;4464;2555;153;111;1423;1254;70;3845;106;335;1507;3799;160;173;3920;718;191;375;869;15511;200;966;1090;300;3241;688;8624;339;847;2424;4465;1475;424;29946;5550;2549;151;152;1589;344;1420;404;286;523;362;2008;3000;321;1030;1944;6408;4137;601;6302;380;619;586;1082;163;922;1062;24426;2936;248;3886;763;1824;778;541;187;277;14430;317;1576;380
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;18--21;2017;5499;1275;1064;8244;853;203;3547;2190;116;80;1175;1007;60;3053;75;214;1179;2965;114;136;3205;604;189;293;724;12690;190;832;888;255;2421;582;6764;287;872;1870;3625;1183;479;23154;4139;2064;106;139;1121;215;1145;329;249;434;329;1587;2571;242;852;1662;5271;3176;491;5257;293;473;452;915;137;783;785;19723;2315;163;3089;699;1529;631;457;110;234;11432;296;1440;320
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;22--24;2016;7834;1717;1157;7672;673;199;4715;2726;215;50;1481;1111;102;3695;92;220;1354;3143;154;118;4328;438;159;478;855;14046;215;664;1033;234;3118;678;8884;236;368;1789;4097;1190;251;34793;6390;2609;117;135;1507;285;1604;323;256;369;263;2295;3011;267;964;1999;5918;4778;695;4684;292;750;718;1082;131;964;1230;22289;2475;213;4194;632;1999;859;385;66;310;12944;310;994;329
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;22--24;2017;6455;1397;904;7331;621;170;3795;2206;155;55;1232;985;76;3111;89;199;1255;2777;110;122;3654;458;141;344;697;12587;183;599;923;206;2785;609;7124;196;475;1712;3568;1101;235;28527;5148;2159;102;105;1290;219;1235;305;204;329;238;1875;2380;221;845;1729;5159;4003;591;4196;273;587;511;877;110;754;990;20542;2203;176;3646;538;1600;692;348;51;252;11502;282;940;278
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;25--29;2016;11891;2925;1322;9944;623;300;7676;4665;379;97;2235;1606;126;5713;104;293;2302;4241;197;194;6475;583;148;715;1424;23652;376;873;1740;344;4131;973;13426;468;223;2914;5319;1649;385;56140;11137;3080;151;157;2005;395;2477;403;313;558;284;3985;4501;448;1512;3165;8211;7983;1265;6314;328;761;1201;1271;224;1408;2276;31750;3325;225;5963;883;2982;1180;616;67;457;17996;475;1010;513
Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen;25--29;2017;10302;2518;1190;9533;565;281;6707;3895;265;92;1952;1426;117;5308;78;281;1994;4044;196;180;5817;539;147;605;1307;21904;314;776;1452;311;3759;903;10324;373;232;2914;4879;1483;338;49642;9659;2508;120;132;1749;354;2068;371;257;465;289;3474;3992;379;1319;2886;7970;7017;1167;6013;311;649;1052;1170;181;1237;1872;30238;3120;189;5879;797;2664;994;567;62;405;17115;439;943;448
