|||Sütunlar|
Satırlar|||Türkiye-TR|
||||
||||
Bebek Ölüm Hızı (Binde)|Ölçüm bazında|2016|9.9|
||2017|9.2|
İkametgah Yerine Göre Ölüm Sayısı|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:1. (1)|2016|652.0|
||2017|671.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:10. (10)|2016|99.0|
||2017|68.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:11. (11)|2016|72.0|
||2017|51.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:2. (2)|2016|397.0|
||2017|352.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:3. (3)|2016|274.0|
||2017|252.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:4. (4)|2016|250.0|
||2017|206.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:5. (5)|2016|177.0|
||2017|194.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:6. (6)|2016|166.0|
||2017|132.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:7. (7)|2016|123.0|
||2017|122.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:8. (8)|2016|116.0|
||2017|103.0|
|Ölenin cinsiyeti:Erkek ve Aylık bebek ölümleri:9. (9)|2016|95.0|
||2017|80.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:1. (1)|2016|545.0|
||2017|550.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:10. (10)|2016|93.0|
||2017|73.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:11. (11)|2016|75.0|
||2017|68.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:2. (2)|2016|379.0|
||2017|281.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:3. (3)|2016|252.0|
||2017|237.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:4. (4)|2016|202.0|
||2017|213.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:5. (5)|2016|175.0|
||2017|161.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:6. (6)|2016|149.0|
||2017|130.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:7. (7)|2016|122.0|
||2017|114.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:8. (8)|2016|110.0|
||2017|87.0|
|Ölenin cinsiyeti:Kadın ve Aylık bebek ölümleri:9. (9)|2016|81.0|
||2017|71.0|
||||
